Beadpack,,Sandstone,,Limestone,
X,Y,X,Y,X,Y
2.1434181211832026,1.4197895404414833,-13.495076238881829,-8.061365286855484,-24.809946938679467,7.643064633260711
2.0769278939197804,1.4501905913383961,-22.00650618852652,-9.36250302590172,-23.303544349799466,7.084113343554155
2.0030498636270977,1.4927520625940716,-23.532313285331078,-2.175986443960303,-23.53333457522184,7.283738804163639
1.929171833334408,1.5170729033116022,-14.120105652030684,-3.431735657225854,-21.197133950094383,5.970413405417035
1.8774572121295279,1.5474739542085132,-13.53184267494941,-3.37121762285161,-18.490715739564212,5.056338927889398
1.8331303939539154,1.5474739542085132,-13.697291637253517,-2.8114258048898577,-18.46518349229506,5.434576642728421
1.7814157727490354,1.5413937440291328,-12.943579697868135,-2.3877995642701535,-17.699216074220487,5.1719115629790995
1.7297011515441554,1.5292333236703666,-10.112564120664501,-4.278988138465262,-17.431127477894385,5.098365340649289
1.6779865303392754,1.51099269313222,-6.178555461433479,-4.990075042362626,-16.090684496263872,4.657088006670429
2.172969333300273,1.3954686997239527,1.2298814061838215,-5.5347373517308185,-14.622580278287604,4.509995562010811
2.172969333300273,1.3954686997239527,1.9284436914678338,-5.459089808763014,-13.971507972924215,4.531008768390757
2.2099083484466178,1.3285863877507467,1.8365276012988758,-5.133805374001454,-12.950218082158113,4.383916323731135
2.2172961514758853,1.3225061775713662,-7.998494046778674,-3.1594045025417614,-13.294903420291671,3.816559751472603
2.239459560563695,1.2981853368538339,-7.777895430373196,-2.5542241587993235,-12.567234373120822,3.669467306812983
2.261622969651498,1.2556238655981566,-9.505917925549436,-1.9339143064633273,-12.171484540448958,4.142264450361761
2.2690107726807724,1.2495436554187744,-8.807355640265424,-1.5254175744371832,-12.337444147698452,2.6398201941956447
2.3059497878271102,1.1887415536249506,-8.384541625488257,-1.0564028080367969,-11.724670213238792,2.1039834315070323
2.313337590856378,1.1644207129074218,-7.998494046778674,-0.6176470588235308,-11.0735979078754,2.6608334005755907
2.3355009999441876,1.1400998721898912,-7.685979340204245,-0.905107722101187,-11.048065660606248,3.480348449393473
2.342888802973455,1.097538400934214,-8.531607369758579,-0.45122246429436075,-10.460823973415739,3.186163560074233
2.342888802973455,1.0914581907548335,-9.266936091110168,-0.4058339385136769,-10.179969253455063,2.8814720675650207
2.3724400150905325,1.0488967194991563,-9.119870346839853,0.017792302106027336,-9.87358228622523,3.0075513058446948
2.416766833266138,0.9880946177053307,-8.862505294366795,0.18421689663519558,-9.745921049879467,3.0916041313644786
2.4610936514417574,0.939452936270273,-9.322085745211538,0.0783103364802713,-8.85229239545913,3.112617337744423
2.4758692575002925,0.939452936270273,-10.884659278083674,-0.5117404986686047,-7.358655930213704,3.060084321794559
2.5054204696173628,0.8968914650145958,-12.33693350275307,0.8196562575647537,-7.71610739198184,3.3227494015438808
2.5275838787051725,0.8725706242970634,-13.917890253658996,0.8045267489711918,-10.026775769840146,1.8413183517577103
2.5275838787051725,0.8604102039383008,-15.002500117652598,2.151053013798112,-10.894872176991335,0.7276184136205899
2.5497472877929823,0.8300091530413862,-14.965733681585018,2.3477366255144023,-10.269332118897093,0.19178165093197563
2.5792984999100526,0.757046630888798,-11.17879076662431,0.5321955942870975,-9.260808351765569,1.074336318889694
2.623625318085665,0.720565369812503,-11.54645512730011,2.5292907286371324,-8.711865035478791,1.8203051453777643
2.645788727173475,0.6840841087362097,-10.976575368252625,2.393125151295086,-9.043784249977772,2.3666485112563507
2.645788727173475,0.6780038985568257,-10.149330556732082,1.9997579278625022,-8.3288813264415,2.3246220984964605
2.66056433323201,0.6597632680186809,-10.002264812461764,1.651779230210602,-8.660800540940485,2.2090494634067586
2.645788727173475,0.6719236883774435,-9.395618617346699,2.060275962236746,-8.239518460999466,2.1460098442669224
2.623625318085665,0.7144851596331208,-9.689750105887338,0.5927136286613415,-8.060792730115399,2.1880362570268126
2.520196075675905,0.8908112548352136,-8.549990587792369,0.9709513435003618,-8.367179697345232,2.4717145431560805
2.5128082726466303,0.8968914650145958,-9.285319309143958,1.152505446623092,-8.265050708268621,0.5700193657709978
2.4537058484124827,0.939452936270273,-7.410231069697399,3.3916727184701028,-8.048026606480825,1.252948573119232
2.4241546362954125,0.9941748278847129,-7.09771636312297,1.8635923505204541,-7.6522767738089605,0.979776890179938
2.3798278181198,1.0367362991403901,-5.86604075485905,2.1964415395787924,-7.090567333887606,1.3159881922590682
1.8035791818368452,1.4684312218765427,-6.399154077838954,2.5898087630113764,-6.924607726638115,1.5051070496785801
1.9217840303051403,1.4501905913383961,-5.88442397289284,2.5746792544178163,-7.052268962983874,2.1460098442669224
1.9882742575685626,1.4015489099033367,-7.299931761494658,0.1690873880416337,-6.5671562648699755,2.4927277495360265
2.069540090890513,1.3164259673919823,-7.502147159866347,0.5473251028806576,-5.92885008314116,2.7238730197154286
2.09909130300759,1.2921051266744517,-5.03879594333851,2.0148874364560623,-7.001204468445572,0.8221778423303441
