Sandstone,
X,Y
12.70943796394486,-8.985849056603769
18.886532343584307,-26.65094339622641
22.49204665959703,-5.931603773584904
18.966065747613996,13.38443396226415
14.14103923647932,4.799528301886795
12.868504772004245,6.69811320754717
12.52386002120891,0.672169811320753
12.841993637327677,-2.3820754716981085
12.09968186638388,-2.877358490566035
10.853658536585366,-4.610849056603769
10.323435843054083,-4.85849056603773
7.089077412513253,-6.839622641509429
9.740190880169672,-1.0613207547169772
9.899257688229058,1.0023584905660385
9.528101802757158,1.910377358490564
9.422057264050904,3.1485849056603783
9.395546129374337,5.294811320754718
9.209968186638386,6.863207547169811
6.903499469777307,-2.7948113207547145
6.903499469777307,0.011792452830189148
8.016967126193004,-1.4740566037735832
8.732767762460233,-1.1438679245283012
8.626723223753979,0.5896226415094326
9.077412513255569,1.084905660377359
8.759278897136797,3.643867924528301
8.282078472958643,2.4056603773584904
7.115588547189821,3.7264150943396217
6.79745493107105,3.643867924528301
6.532343584305407,5.212264150943394
6.0551431601272565,3.8915094339622627
5.524920466595971,5.212264150943394
7.195121951219514,-1.0613207547169772
7.274655355249207,0.42452830188679513
7.168610816542946,0.672169811320753
7.460233297985157,-0.3183962264150928
6.505832449628846,-0.7311320754716988
6.452810180275714,1.0023584905660385
6.081654294803817,1.1674528301886795
6.240721102863203,0.7547169811320771
5.445387062566278,1.2500000000000036
5.471898197242842,1.910377358490564
5.312831389183456,-0.9787735849056602
5.471898197242842,-0.6485849056603783
5.6044538706256635,-1.1438679245283012
5.6044538706256635,-2.2995283018867916
4.968186638388124,-1.4740566037735832
4.729586426299045,0.8372641509433976
4.862142099681867,1.2500000000000036
4.225874867444327,1.992924528301888
3.5630965005302233,2.5707547169811313
3.271474019088016,3.3962264150943398
2.688229056203605,2.9009433962264133
2.44962884411453,2.9009433962264133
-3.1972428419936367,-0.9787735849056602
-3.0116648992576884,-2.216981132075471
-2.2693531283138917,-0.48349056603773377
-2.560975609756097,-0.7311320754716988
-2.534464475079533,0.3419811320754711
-2.216330858960763,0.3419811320754711
-1.8186638388123004,0.7547169811320771
-1.6330858960763521,1.2500000000000036
-1.4475079533404038,0.7547169811320771
-1.712619300106045,-0.5660377358490543
-1.8186638388123004,-1.4740566037735832
-2.030752916224815,-2.2995283018867916
-2.3488865323435846,-1.6391509433962277
-1.288441145281018,-0.2358490566037723
-0.678685047720041,0.5896226415094326
-0.678685047720041,-0.5660377358490543
-1.0763520678685037,-1.1438679245283012
-1.0498409331919412,-2.216981132075471
-1.1558854718981966,-2.877358490566035
0.22269353128313973,0.2594339622641506
0.14316012725344684,-0.6485849056603783
0.09013785790031825,-1.4740566037735832
0.037115588547191436,1.3325471698113205
0.6733828207847292,0.9198113207547145
1.2301166489925777,0.7547169811320771
1.919406150583244,1.3325471698113205
2.104984093319194,-0.3183962264150928
1.5747613997879117,-0.7311320754716988
1.6808059384941672,-2.4646226415094326
0.8059384941675489,-1.8867924528301891
0.5673382820784756,-0.3183962264150928
0.4878048780487827,-1.5566037735849036
0.4878048780487827,-2.2995283018867916
2.7942735949098623,-1.6391509433962277
2.5556733828207854,-2.7948113207547145
2.211028632025453,-2.216981132075471
2.0519618239660673,-1.8867924528301891
3.165429480381759,-2.0518867924528266
3.271474019088016,-2.2995283018867916
3.377518557794277,-2.7122641509433976
3.536585365853659,-2.7122641509433976
3.6691410392364805,-2.547169811320753
3.5630965005302233,-0.6485849056603783
3.695652173913045,-0.5660377358490543
4.331919406150584,-0.5660377358490543
4.411452810180277,-0.5660377358490543
4.544008483563099,-0.5660377358490543
4.915164369034995,-0.40094339622641684
4.888653234358431,0.2594339622641506
4.225874867444327,0.7547169811320771
3.695652173913045,1.497641509433965
3.218451749734891,0.2594339622641506
2.661717921527041,-1.0613207547169772
2.44962884411453,1.084905660377359
3.085896076352066,1.827830188679247
1.6808059384941672,1.580188679245282
1.256627783669142,1.580188679245282
1.2036055143160116,2.0754716981132084
0.4612937433722166,0.9198113207547145
0.4612937433722166,1.415094339622641
0.4612937433722166,1.827830188679247
0.7529162248144221,1.7452830188679265
-0.09544008483563005,1.7452830188679265
-0.33404029692470694,1.910377358490564
-0.5461293743372213,1.497641509433965
-0.9437963944856822,1.580188679245282
-1.1558854718981966,0.8372641509433976
-0.9968186638388108,-0.07075471698112779
-0.678685047720041,-1.2264150943396217
-0.36055143160127123,-1.2264150943396217
-0.28101802757157834,-1.8867924528301891
-2.0042417815482487,-0.48349056603773377
-2.6935312831389187,-0.40094339622641684
-2.8525980911983027,-1.0613207547169772
