Beadpack,,Sandstone,,Limestone,
X,Y,X,Y,X,Y
2.440818691983969,1.5777646109081616,0.49971100190446016,1109.2673973448682,-0.04978179478471301,2942.4613509338183
2.5253560453207653,-1.661093964336942,0.22984175856007294,1020.1987865256169,-2.052666781533419,2442.057701058389
2.5871333419899614,-0.041664676714390225,0.1322986585560768,1117.3645437829819,-0.7650978614806796,2412.9079738811797
2.6196477086579604,-0.041664676714390225,0.011995501884483062,1342.4652147625434,-0.895155328152673,2540.8428876033768
2.658664948659558,-3.280523251959494,0.14205296855647642,1426.6755377189265,-1.0772357814934646,2563.514897630095
2.6846764419939566,-1.661093964336942,-0.004261681449515997,1488.2138506485908,-0.7520921148134798,2924.647628769968
2.7106879353283553,-1.661093964336942,0.808597485250445,1863.9214453770683,-0.7618464248138803,2778.8989928839205
2.756208048663554,-1.661093964336942,0.5257224952388588,1969.1843490725469,-0.9634354981554698,2981.327653836764
2.7952252886651507,-1.661093964336942,0.09002998188767908,1867.1603039523138,-1.3275964048370534,2982.947083124387
2.8407454020003495,-1.661093964336942,-0.06278754145191368,1839.6300060627273,-2.956566174903777,2978.0887952615185
2.8732597686683485,-1.661093964336942,-0.287136671461103,1825.0551424741225,-1.7242716781866347,2979.708224549141
2.7269451186623543,-3.280523251959494,-0.6903148181442837,1846.1077232132184,-1.0122070481574683,2887.4007551546447
2.5578704119887625,-1.661093964336942,-0.6350403948086862,1640.4402036851293,-0.9471783148214716,2855.01216940219
2.4993445519863666,1.5777646109081616,-0.31639960146230184,1497.9304263743275,-0.9049096381530735,2804.8098614858845
2.470081621985167,4.816623186154175,-0.40743982813269675,1463.9224113342498,-0.9211668214870721,2466.3491403727303
2.899271262002747,3.197193898531623,-0.38467977146509824,1433.1532548694172,-1.9063521315274259,2365.94452454012
2.8114824719991507,1.5777646109081616,-0.3554168414638994,1373.234371227376,-1.8088090315234306,2276.875913720869
2.642407765325558,3.197193898531623,-0.9146639481534735,1745.703107380608,-1.7080144948526352,2231.5318936674316
2.4310643819835684,22.630345350004063,-0.8171208481494778,1732.7476730796257,-1.5421912248458431,2179.710156463504
2.4765844953187672,22.630345350004063,-0.47571999813549404,1965.9454904973018,-1.5291854781786438,2114.932984958594
2.5578704119887625,12.913769624267843,-0.599274591473888,1946.5123390458284,-2.25100441820821,2715.7412506666333
2.6033905253239613,12.913769624267843,-0.6610518881430849,1941.6540511829603,-2.5956567048889934,2821.004154362112
2.580630468656362,16.152628199513856,-0.8106179748158784,1922.2208997314874,-2.748474228228586,2871.2064622784173
2.535110355321164,19.39148677475896,-0.921166821487073,1967.5649197849243,-2.6997026782265885,2973.2305073986504
2.6554135119927587,14.533198911890395,-0.9894469914898694,1959.4677733468106,-2.6184167615565928,2978.0887952615185
2.6814250053271573,12.913769624267843,-1.0674814714930663,1931.937475457224,-2.767982848229386,2968.3722195357823
2.707436498661556,11.294340336645291,-1.1455159514962623,1922.2208997314874,-2.7517256648953863,2935.9836337833267
2.739950865329554,11.294340336645291,-1.1910360648314602,1980.5203540859065,-2.4948621682181984,2966.7527902481597
2.7627109219971535,11.294340336645291,-0.4334513214670954,1959.4677733468106,-2.3810618848802036,2976.469365973896
2.7952252886651507,11.294340336645291,-0.47571999813549404,1938.4151926077147,-2.2802673482094082,2979.708224549141
2.814733908665951,14.533198911890395,-2.5241250982193977,1982.1397833735286,-2.1241983882030158,2971.6110781110274
2.8537511486675484,14.533198911890395,-2.452593491549801,1990.2369298116428,-2.072175401534218,2952.177926659555
2.8732597686683485,17.7720574871355,-2.319284588211007,1972.4232076477924,-1.9811351748638226,2955.4167852348
2.8862655153355474,21.01091606238151,-2.1599641915378145,1974.042636935415,-1.8640834548590282,2974.849936686273
2.9187798820035455,21.01091606238151,-2.091684021535018,1962.7066319220557,-1.8153119048570305,2976.469365973896
2.9382885020043448,27.488633212872628,-1.9323636248618254,1978.9009247982835,-1.6885058748518365,2965.1333609605363
