Beadpack,,Sandstone,,Limestone,
X,Y,X,Y,X,Y
2.570605187,0.128630705,-0.172910663,0.091286307,-2.144092219,0.203319502
2.501440922,0.091286307,-0.115273775,0.153526971,-2.247838617,0.153526971
2.443804035,0.01659751,0.011527378,0.153526971,-1.982708934,0.278008299
2.397694524,-0.033195021,-0.057636888,0.352697095,-1.878962536,0.128630705
2.42074928,-0.095435685,-0.057636888,0.46473029,-1.625360231,-0.082987552
2.455331412,-0.132780083,-0.288184438,0.626556017,-1.832853026,-0.157676349
2.5129683,-0.132780083,-1.821325648,2.456431535,-1.383285303,-0.34439834
2.582132565,-0.132780083,-1.948126801,2.331950207,-1.337175793,-0.12033195
2.65129683,-0.107883817,-1.994236311,2.082987552,-1.314121037,-0.157676349
2.74351585,-0.045643154,-2.282420749,2.020746888,-1.636887608,-0.033195021
2.78962536,0.004149378,-2.282420749,1.995850622,-1.671469741,0.004149378
2.824207493,0.066390041,-2.409221902,1.684647303,-1.11815562,-1.875518672
2.858789625,0.116182573,-2.340057637,1.510373444,-1.048991354,-1.937759336
2.766570605,0.128630705,-2.340057637,1.360995851,-0.933717579,-1.863070539
2.662824207,0.091286307,-2.432276657,1.31120332,-0.933717579,-1.962655602
2.593659942,0.041493776,-2.455331412,1.211618257,-0.714697406,-2.124481328
2.536023055,-0.008298755,-2.259365994,1.149377593,-0.668587896,-2.074688797
2.55907781,-0.058091286,-2.224783862,1.062240664,-0.645533141,-2
2.60518732,-0.045643154,-2.340057637,1.161825726,-0.564841499,-1.912863071
2.674351585,0.029045643,-1.775216138,0.46473029,-0.449567723,-1.875518672
2.74351585,0.041493776,-1.682997118,0.601659751,-0.391930836,-1.788381743
2.432276657,0.041493776,-1.510086455,0.614107884,-0.345821326,-1.676348548
2.524495677,0.091286307,-1.510086455,0.390041494,-0.380403458,-1.614107884
2.685878963,0.141078838,-1.187319885,0.352697095,-0.495677233,-1.68879668
2.824207493,0.165975104,-0.956772334,0.32780083,-0.530259366,-1.800829876
2.88184438,0.165975104,-0.403458213,0.165975104,-0.634005764,-1.875518672
2.939481268,0.078838174,-0.357348703,0.365145228,-0.749279539,-1.937759336
2.858789625,-0.008298755,-0.634005764,0.576763485,-0.806916427,-2
2.801152738,-0.058091286,-0.334293948,0.962655602,-0.841498559,-2
2.69740634,-0.12033195,-0.414985591,1.024896266,-0.829971182,-1.863070539
2.582132565,-0.170124481,-0.368876081,1.261410788,-0.783861671,-1.850622407
2.501440922,-0.170124481,-0.484149856,1.460580913,-0.668587896,-1.825726141
